Concello compuesto,id bruto,Concello bruto,,Concello_id,Concello,Renta disponible bruta per capita [miles de euros],2023
15001 Abegondo,15001,Abegondo,,15001,Abegondo,19.641,"19,641"
15002 Ames,15002,Ames,,15002,Ames,20.674,"20,674"
15003 Aranga,15003,Aranga,,15003,Aranga,17.490,"17,490"
15004 Ares,15004,Ares,,15004,Ares,18.388,"18,388"
15005 Arteixo,15005,Arteixo,,15005,Arteixo,17.911,"17,911"
15006 Arzúa,15006,Arzúa,,15006,Arzúa,18.030,"18,030"
"15007 Baña, A ",15007,"Baña, A",,15007,"Baña, A",16.375,"16,375"
15008 Bergondo ,15008,Bergondo,,15008,Bergondo,22.774,"22,774"
15009 Betanzos ,15009,Betanzos,,15009,Betanzos,18.904,"18,904"
15010 Boimorto ,15010,Boimorto,,15010,Boimorto,16.090,"16,090"
15011 Boiro ,15011,Boiro,,15011,Boiro,16.761,"16,761"
15012 Boqueixón ,15012,Boqueixón,,15012,Boqueixón,18.718,"18,718"
15013 Brión ,15013,Brión,,15013,Brión,19.909,"19,909"
15014 Cabana de Bergantiños ,15014,Cabana de Bergantiños ,,15014,Cabana de Bergantiños ,17.230,"17,230"
15015 Cabanas ,15015,Cabanas,,15015,Cabanas,19.204,"19,204"
15016 Camariñas ,15016,Camariñas,,15016,Camariñas,15.141,"15,141"
15017 Cambre ,15017,Cambre,,15017,Cambre,20.162,"20,162"
"15018 Capela, A ",15018,"Capela, A ",,15018,"Capela, A ",18.516,"18,516"
15019 Carballo ,15019,Carballo,,15019,Carballo,17.330,"17,330"
15020 Carnota ,15020,Carnota,,15020,Carnota,15.876,"15,876"
15021 Carral ,15021,Carral,,15021,Carral,19.218,"19,218"
15022 Cedeira ,15022,Cedeira,,15022,Cedeira,16.298,"16,298"
15023 Cee ,15023,Cee,,15023,Cee,16.524,"16,524"
15024 Cerceda ,15024,Cerceda,,15024,Cerceda,17.440,"17,440"
15025 Cerdido ,15025,Cerdido,,15025,Cerdido,15.490,"15,490"
15026 Cesuras ,15026,Cesuras,,15026,Cesuras,,
15027 Coirós ,15027,Coirós,,15027,Coirós,18.388,"18,388"
15028 Corcubión ,15028,Corcubión,,15028,Corcubión,18.047,"18,047"
15029 Coristanco ,15029,Coristanco,,15029,Coristanco,16.216,"16,216"
"15030 Coruña, A ",15030,"Coruña, A ",,15030,"Coruña, A ",24.327,"24,327"
15031 Culleredo ,15031,Culleredo,,15031,Culleredo,20.682,"20,682"
15032 Curtis ,15032,Curtis,,15032,Curtis,17.710,"17,710"
15033 Dodro ,15033,Dodro,,15033,Dodro,16.883,"16,883"
15034 Dumbría ,15034,Dumbría,,15034,Dumbría,15.528,"15,528"
15035 Fene ,15035,Fene,,15035,Fene,17.830,"17,830"
15036 Ferrol ,15036,Ferrol,,15036,Ferrol,18.354,"18,354"
15037 Fisterra ,15037,Fisterra,,15037,Fisterra,16.219,"16,219"
15038 Frades ,15038,Frades,,15038,Frades,17.503,"17,503"
15039 Irixoa ,15039,Irixoa,,15039,Irixoa,18.241,"18,241"
15040 Laxe ,15040,Laxe,,15040,Laxe,17.487,"17,487"
"15041 Laracha, A ",15041,"Laracha, A ",,15041,"Laracha, A ",17.598,"17,598"
15042 Lousame ,15042,Lousame,,15042,Lousame,15.180,"15,180"
15043 Malpica de Bergantiños,"15,043",Malpica de Bergantiños,,15043,Malpica de Bergantiños,17.187,"17,187"
15044 Mañón ,15044,Mañón,,15044,Mañón,16.652,"16,652"
15045 Mazaricos ,15045,Mazaricos,,15045,Mazaricos,16.577,"16,577"
15046 Melide ,15046,Melide,,15046,Melide,16.273,"16,273"
15047 Mesía ,15047,Mesía,,15047,Mesía,15.829,"15,829"
15048 Miño ,15048,Miño,,15048,Miño,20.528,"20,528"
15049 Moeche ,15049,Moeche,,15049,Moeche,16.016,"16,016"
15050 Monfero ,15050,Monfero,,15050,Monfero,17.461,"17,461"
15051 Mugardos ,15051,Mugardos,,15051,Mugardos,18.001,"18,001"
15052 Muxía ,15052,Muxía,,15052,Muxía,15.626,"15,626"
15053 Muros ,15053,Muros,,15053,Muros,15.568,"15,568"
15054 Narón ,15054,Narón,,15054,Narón,17.230,"17,230"
15055 Neda ,15055,Neda,,15055,Neda,18.099,"18,099"
15056 Negreira ,15056,Negreira,,15056,Negreira,17.073,"17,073"
